,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
70,13447,1.0,2021-12-16,BKN,PHI,2.17,1.74,114:105,0.6812022924423218
71,6499,0.0,2015-01-13,UTA,GSW,4.1,1.26,105:116,0.43856221437454224
72,10837,1.0,2019-01-19,IND,DAL,1.31,3.63,111:99,0.7132307291030884
73,1562,1.0,2010-01-31,OKC,GSW,1.23,4.37,112:104,0.693969190120697
74,574,0.0,2009-02-10,MIN,TOR,2.21,1.68,102:110,0.5083830952644348
75,3295,0.0,2012-02-02,NYK,CHI,2.43,1.59,102:105,0.47601643204689026
76,12669,0.0,2021-03-13,OKC,NYK,2.56,1.54,97:119,0.49325457215309143
77,9151,1.0,2017-04-02,BKN,ATL,2.35,1.63,91:82,0.7008098363876343
78,11252,1.0,2019-03-24,MIL,CLE,1.07,9.4,127:105,0.8416314125061035
79,11517,0.0,2019-12-02,CHA,PHX,2.44,1.59,104:109,0.4704344868659973
80,873,1.0,2009-03-26,POR,PHX,1.36,3.28,129:109,0.6496285200119019
81,8058,1.0,2016-03-24,BKN,CLE,5.21,1.18,104:95,0.39550644159317017
82,3912,1.0,2012-04-21,MEM,POR,1.09,8.07,93:89,0.7177178859710693
83,6212,0.0,2014-12-05,TOR,CLE,1.53,2.61,91:105,0.7354049682617188
84,760,0.0,2009-03-11,HOU,LAL,1.59,2.41,96:102,0.6993744373321533
85,13076,0.0,2021-05-03,DET,ORL,1.8,2.06,112:119,0.6634604930877686
86,8922,1.0,2017-03-03,MIL,LAC,2.87,1.45,112:101,0.5295091271400452
87,10924,1.0,2019-02-01,DEN,HOU,1.64,2.35,136:122,0.6227297186851501
88,7506,0.0,2016-01-04,MIL,SAS,5.17,1.18,98:123,0.3006027936935425
89,10917,1.0,2019-01-31,DET,DAL,1.3,3.67,93:89,0.5507487654685974
90,13229,0.0,2021-11-15,MIN,PHX,2.46,1.58,96:99,0.34417545795440674
91,9768,1.0,2018-01-22,ATL,UTA,2.26,1.68,104:90,0.5297019481658936
92,9185,0.0,2017-04-06,NYK,WAS,3.17,1.39,103:106,0.47807201743125916
93,7477,0.0,2015-12-31,NOP,LAC,1.83,2.04,89:95,0.45190227031707764
94,14071,1.0,2022-03-18,PHI,DAL,1.59,2.47,111:101,0.4519500732421875
95,8740,0.0,2017-01-25,CHA,GSW,5.22,1.18,103:113,0.4737592935562134
96,1420,0.0,2010-01-13,BKN,BOS,3.99,1.26,87:111,0.3216133117675781
97,5019,1.0,2013-10-29,MIA,CHI,1.46,2.8,107:95,0.6095483899116516
98,13484,1.0,2021-12-22,BOS,CLE,1.39,3.12,111:101,0.42044633626937866
99,12772,0.0,2021-03-26,MIL,BOS,1.44,2.9,114:122,0.8029291033744812
100,5550,0.0,2014-01-31,MIN,MEM,2.02,1.83,90:94,0.6212703585624695
101,11614,0.0,2019-12-15,GSW,SAC,2.61,1.53,79:100,0.4641597270965576
102,5579,0.0,2014-02-04,GSW,CHA,1.15,5.85,75:91,0.7354440093040466
103,982,1.0,2009-04-10,LAC,SAC,1.54,2.56,109:78,0.5146631598472595
104,318,0.0,2009-01-05,MIA,SAS,2.35,1.62,84:91,0.4979087710380554
105,7579,0.0,2016-01-14,ORL,TOR,2.64,1.52,103:106 ,0.463409960269928
106,2220,1.0,2010-12-05,DEN,MEM,1.37,3.22,108:107,0.7094446420669556
107,13305,0.0,2021-11-26,LAL,SAC,1.31,3.61,137:141 ,0.6373651623725891
108,1857,1.0,2010-03-15,UTA,WAS,1.11,7.09,112:89,0.828605592250824
109,4337,1.0,2013-01-13,LAL,CLE,1.19,5.03,113:93,0.7662918567657471
