,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
91,9768,1.0,2018-01-22,ATL,UTA,2.26,1.68,104:90,0.48882195353507996
92,9185,0.0,2017-04-06,NYK,WAS,3.17,1.39,103:106,0.4813605546951294
93,7477,0.0,2015-12-31,NOP,LAC,1.83,2.04,89:95,0.43048933148384094
94,14071,1.0,2022-03-18,PHI,DAL,1.59,2.47,111:101,0.45369863510131836
95,8740,0.0,2017-01-25,CHA,GSW,5.22,1.18,103:113,0.48422905802726746
96,1420,0.0,2010-01-13,BKN,BOS,3.99,1.26,87:111,0.2637736201286316
97,5019,1.0,2013-10-29,MIA,CHI,1.46,2.8,107:95,0.5909712910652161
98,13484,1.0,2021-12-22,BOS,CLE,1.39,3.12,111:101,0.41037511825561523
99,12772,0.0,2021-03-26,MIL,BOS,1.44,2.9,114:122,0.7516962289810181
100,5550,0.0,2014-01-31,MIN,MEM,2.02,1.83,90:94,0.5997640490531921
101,11614,0.0,2019-12-15,GSW,SAC,2.61,1.53,79:100,0.4297136068344116
102,5579,0.0,2014-02-04,GSW,CHA,1.15,5.85,75:91,0.7420288324356079
103,982,1.0,2009-04-10,LAC,SAC,1.54,2.56,109:78,0.5141344666481018
104,318,0.0,2009-01-05,MIA,SAS,2.35,1.62,84:91,0.5416368842124939
105,7579,0.0,2016-01-14,ORL,TOR,2.64,1.52,103:106 ,0.35983359813690186
106,2220,1.0,2010-12-05,DEN,MEM,1.37,3.22,108:107,0.6770505309104919
107,13305,0.0,2021-11-26,LAL,SAC,1.31,3.61,137:141 ,0.5713950395584106
108,1857,1.0,2010-03-15,UTA,WAS,1.11,7.09,112:89,0.8272435665130615
109,4337,1.0,2013-01-13,LAL,CLE,1.19,5.03,113:93,0.7332004308700562
110,5982,1.0,2014-04-02,TOR,HOU,1.78,2.09,107:103,0.5913902521133423
111,5013,0.0,2013-04-17,POR,GSW,4.39,1.23,88:99,0.23485830426216125
112,2129,1.0,2010-11-23,DAL,DET,1.17,5.18,88:84,0.8089414834976196
113,5239,0.0,2013-12-19,GSW,SAS,1.34,3.4,102:104,0.36452123522758484
114,6592,0.0,2015-01-25,PHX,LAC,2.21,1.71,100:120,0.38807255029678345
115,3703,0.0,2012-03-27,GSW,LAL,3.75,1.29,101:104,0.3170493245124817
116,6193,1.0,2014-12-03,HOU,MEM,2.81,1.46,105:96,0.44448259472846985
117,8694,1.0,2017-01-19,CLE,PHX,1.12,6.92,118:103,0.7891942262649536
118,5181,1.0,2013-12-11,MIN,PHI,1.1,8.11,106:99,0.8598223924636841
119,3954,1.0,2012-04-26,TOR,BKN,1.31,3.62,98:67,0.5351611375808716
120,7592,1.0,2016-01-16,ATL,BKN,1.15,5.93,114:86,0.7635341286659241
121,7845,1.0,2016-02-25,BOS,MIL,1.29,3.78,112:107,0.7267721891403198
122,9063,1.0,2017-03-21,MIA,PHX,1.12,6.9,112:97,0.8552265167236328
123,11052,0.0,2019-02-25,CHI,MIL,3.88,1.28,106:117,0.21968677639961243
124,4969,1.0,2013-04-12,LAL,GSW,1.29,3.77,118:116,0.6090831756591797
125,2240,1.0,2010-12-07,POR,PHX,1.68,2.23,106:99,0.5811777710914612
126,9289,0.0,2017-11-14,HOU,TOR,1.39,3.15,113:129,0.833268940448761
127,5995,0.0,2014-04-04,MIA,MIN,1.25,4.21,121:122 ,0.7721289992332458
128,8255,0.0,2016-11-20,BKN,POR,2.61,1.54,109:129,0.6033756136894226
129,11341,1.0,2019-04-05,OKC,DET,1.41,3.06,123:110,0.6262011528015137
